cluster,label,description,review_note,n_docs,n_paper,n_project,n_patent,dominant_type,is_carbon_capture,top_terms,nearest_siblings,representative_titles
10,Genetic Code Expansion with Noncanonical Amino Acids,Orthogonal tRNA-synthetase pairs enabling incorporation of unnatural amino acids into proteins in vivo.,,143,67,10,66,paper,False,"trna synthetase, aminoacyl, aminoacyl trna, ncaas, noncanonical amino, trna synthetases, ncaa, trna",c11:Corynebacterium glutamicum Amino Acid Production(0.84) | c24:Peptide Coiled-Coil Assembly(0.83) | c32:Synthetic XNA and Unnatural Bases(0.79) | c31:RNA Regulatory Elements(0.76) | c51:Streptomyces Natural Product Discovery(0.74),Site specific incorporation of heavy atom-containing unnatural amino acids into proteins for structure determination | Adding New Chemistries to the Genetic Code | Methods and compositions for the prodcution of orthogonal tRNA-aminoacyl-tRNA synthetase pairs | Initiation of Protein Synthesis with Non‐Canonical Amino Acids In Vivo | MODIFIED TRNA CONTAINING NON-NATURAL NUCLEOTIDE AND USE THEREOF | Orthogonal translation components for the in vivo incorporation of unnatural amino acids | Genetically encoded fluorescent coumarin amino acids | Computational method for designing enzymes for incorporation of non natural amino acids into proteins | Hijacking Translation Initiation for Synthetic Biology | In vivo incorporation of alkynyl amino acids into proteins in eubacteria
11,Corynebacterium glutamicum Amino Acid Production,"Metabolic engineering of Corynebacterium glutamicum for industrial fermentative production of amino acids like lysine, valine, and methionine.",,54,22,0,32,patent,False,"glutamicum, corynebacterium, corynebacterium glutamicum, polynucleotide, gaba, methionine, valine, mutant microorganisms",c10:Genetic Code Expansion with Noncanonical Amino Acids(0.84) | c62:Syngas Fermentation to Alcohols(0.81) | c63:Lignocellulose Bioconversion to Biofuels(0.80) | c57:Microbial Bioremediation & Biochemical Production(0.78) | c45:Site-Specific Recombinase Integration(0.76),"Synthetic biology and metabolic engineering for amino acid production in &amp;lt;italic&amp;gt;Corynebacterium glutamicum&amp;lt;/italic&amp;gt; | A genome-based approach to create a minimally mutated Corynebacterium glutamicum strain for efficient l-lysine production | Nucleotide sequences coding for proteins involved in the biosynthesis of L-serine, an improved method for the microbial production of L-serine and a g | PRODUCTION PROCESS FOR AMINO ACIDS OF THE ASPARTATE FAMILY USING MICROORGANISMS | The Actinobacterium Corynebacterium glutamicum, an Industrial Workhorse | PROCESS FOR THE FERMENTATIVE PRODUCTION OF L-VALINE EMPLOYING CORYNEFORME BACTERIA HAVING AN ENHANCED TRANSAMINASE C ACTIVITY | Systems metabolic engineering strategies for the production of amino acids | MICROORGANISM AND PROCESS FOR THE PREPARATION OF L-METHIONINE | METHOD FOR MICROBIALLY PRODUCING L-VALINE | Engineering microbial cell factories: Metabolic engineering of <i>Corynebacterium glutamicum</i> with a focus on non‐natural products"
12,Mammalian Gene Circuit Engineering,Synthetic transcriptional networks and programmable gene regulation systems designed in human and pluripotent mammalian cells.,,536,493,9,34,paper,False,"tfbs, oct4, raav, aav, synthetic mrnas, pluripotency, grammar, escs",c13:CRISPR-Cas9 Genome Editing(0.82) | c69:PARP Inhibitor Synthetic Lethality(0.81) | c19:Engineered Live Bacterial Therapeutics(0.77) | c65:Genetic Circuit Dynamics(0.76) | c73:Synthetic Retinoids for Cancer Apoptosis(0.76),"A Synthetic Transcription Platform for Programmable Gene Expression in Mammalian Cells | A guide to the design of synthetic gene networks in mammalian cells | Clinically-driven design of synthetic gene regulatory programs in human cells | Design and Construction of Synthetic Gene Networks in Mammalian Cells | Synthetic gene circuits and cellular decision-making in human pluripotent stem cells | Engineering Molecular Circuits Using Synthetic Biology in Mammalian Cells | Rapid, modular and reliable construction of complex mammalian gene circuits | Mammalian synthetic biology for studying the cell | Manipulating gene expression levels in mammalian cell factories: An outline of synthetic molecular toolboxes to achieve multiplexed control | Mammalian synthetic biology – from tools to therapies"
13,CRISPR-Cas9 Genome Editing,CRISPR-Cas9 DNA repair and precise genome editing using guide RNAs and homology-directed repair mechanisms.,possible merge with c14 (cos 0.91),84,70,1,13,paper,False,"spry, grnas, hdr, spcas9, crrnas, pam, dna looping, crrna",c14:CRISPR Interference Gene Regulation(0.91) | c12:Mammalian Gene Circuit Engineering(0.82) | c39:CRISPR Diagnostic Biosensors(0.79) | c34:Genomic Variant Prediction & Benchmarking(0.76) | c69:PARP Inhibitor Synthetic Lethality(0.75),Recent Advances in CRISPR‐Cas9 Genome Editing Technology for Biological and Biomedical Investigations | Potential pitfalls of <scp>CRISPR</scp>/Cas9‐mediated genome editing | Multiplex Genome Engineering Using CRISPR/Cas Systems | Versatility of chemically synthesized guide RNAs for CRISPR-Cas9 genome editing | Compact and highly active next-generation libraries for CRISPR-mediated gene repression and activation | Using Synthetically Engineered Guide RNAs to Enhance CRISPR Genome Editing Systems in Mammalian Cells | The Potential of CRISPR/Cas9 Gene Editing as a Treatment Strategy for Inherited Diseases | Efficient precise integration of large DNA sequences with 3′-overhang dsDNA donors using CRISPR/Cas9 | Precision genome editing using synthesis-dependent repair of Cas9-induced DNA breaks | Engineered minimal type I CRISPR-Cas system for transcriptional activation and base editing in human cells
14,CRISPR Interference Gene Regulation,CRISPRi and CRISPRa systems using catalytically dead Cas9 for programmable transcriptional repression and activation in bacteria.,possible merge with c13 (cos 0.91),78,75,3,0,paper,False,"anti crisprs, anti crispr, crispra, crispr interference, dcas9, cas3, pam, crispri",c13:CRISPR-Cas9 Genome Editing(0.91) | c45:Site-Specific Recombinase Integration(0.81) | c19:Engineered Live Bacterial Therapeutics(0.81) | c39:CRISPR Diagnostic Biosensors(0.78) | c64:Bacterial Promoter Engineering(0.78),"Programmable CRISPR‐Cas transcriptional activation in bacteria | Targeted Transcriptional Repression in Bacteria Using CRISPR Interference (CRISPRi) | Expanding application of CRISPR-Cas9 system in microorganisms | CRISPR-Cas9/Cas12a biotechnology and application in bacteria | A CRISPRi screen in E. coli reveals sequence-specific toxicity of dCas9 | Repurposing endogenous type I CRISPR-Cas systems for programmable gene repression | Expanding the Scope of Bacterial CRISPR Activation with PAM-flexible
dCas9 Variants | CRISPR interference (CRISPRi) for sequence-specific control of gene
expression | Applications of CRISPR/Cas System to Bacterial Metabolic Engineering | Programmable repression and activation of bacterial gene expression using an engineered CRISPR-Cas system"
15,Synthetic Biology Ethics & Governance,"Philosophical, ethical, and policy discourse on synthetic biology's societal implications, biosecurity risks, and regulatory frameworks.",,735,733,2,0,paper,False,"debates, god, governance, metaphors, attitudes, moral, philosophical, biosafety biosecurity",c50:Minimal Genome Design(0.77) | c57:Microbial Bioremediation & Biochemical Production(0.77) | c19:Engineered Live Bacterial Therapeutics(0.74) | c53:SBOL Data Standards and Markup(0.72) | c51:Streptomyces Natural Product Discovery(0.71),Future Trends in Synthetic Biology—A Report | Synthetic Biology: A Game Changer? | Beyond the Organism versus Machine Dichotomy: A Review of Ethical Concerns in Synthetic Biology | Synthetic biology as a new threat to biosecurity. Is there a road to suitable governance | Finding Hope in Synthetic Biology | The Defence of Artificial Life by Synthetic Biology From Ethical and Social Aspects. | The Ethics of Synthetic Biology | Thinking of Advance and Risk Governance of Synthetic Biology | Ethical and social insights into synthetic biology: predicting research fronts in the post-COVID-19 era | The Ethics of Synthetic Biology: <i>Guiding Principles for Emerging Technologies</i>
16,Engineered Antibody Design,"Synthetic antibody engineering including humanization, fragment design, and non-natural amino acid incorporation for therapeutic applications.",,85,30,24,31,patent,False,"rbcs, immunoglobulin, vhb, abo, glycolipids, fc, red blood, camelid",c66:Peptide-Based Cell Targeting(0.82) | c21:Fluorescent Protein Engineering(0.81) | c40:Aptamer-Based Biosensors(0.79) | c17:Bacterial Compartmentalization Systems(0.79) | c68:CAR-T Cell Engineering(0.75),"SYNTHETIC ANTIBODIES | ANTIBODY TARGETING THROUGH A MODULAR RECOGNITION DOMAIN | Antibody fragments | METHOD FOR OBTAINING ANTIBODIES | Smart E.coli for B Cells Capture | Bovine fusion antibodies | HUMANIZATION OF MURINE ANTIBODY | Engineered antibody constant domain molecules | ANTIBODIES COMPRISING SITE-SPECIFIC NON-NATURAL AMINO ACID RESIDUES, METHODS OF THEIR PREPARATION AND METHODS OF THEIR USE | SUBSTANCE BINDING HUMAN IgG Fc RECEPTOR IIb (FcgammaRIIb)"
17,Bacterial Compartmentalization Systems,Engineering synthetic membrane-bound and protein-cage microcompartments in bacteria for protein encapsulation and metabolic organization.,,76,23,44,9,project,False,"encapsulin, encapsulins, omvs, omv, cage, pdu, microcompartment, spycatcher spytag",c75:Bacteriophage Therapy Systems(0.79) | c21:Fluorescent Protein Engineering(0.79) | c16:Engineered Antibody Design(0.79) | c24:Peptide Coiled-Coil Assembly(0.78) | c47:Bacillus subtilis Biofilm Engineering(0.77),VESECURE | Production and purification of outer membrane vesicles encapsulating green fluorescent protein from Escherichia coli: a step towards scalable OMV tech | A Flexible Strategy for Cytoplasmic Compartmentalization in Bacteria | Clean Harvest of Overexpressed Protein System | Identification of a Minimal Peptide Tag for <i>in Vivo</i> and <i>in Vitro</i> Loading of Encapsulin | Click Coli: expanding the chemical toolbox for bacteria | Engineering bacterial micro-compartments to investigate metabolic channeling and its potential uses in biotechnological applications | Transport of Proteins in E. coli via OMV Biogenesis | VesiColi | Whateversisome: create your own bacterial functional organelle
18,Polyketide Synthase Engineering,Engineering and production of polyketide synthases and their biosynthetic pathways for complex natural product synthesis.,,65,15,2,48,patent,False,"polyketides, polyketide, polyketide synthase, pkss, pks, polyketide synthases, tetracenomycin, id 35",c51:Streptomyces Natural Product Discovery(0.84) | c60:Microbial Phytochemical Biosynthesis(0.82) | c62:Syngas Fermentation to Alcohols(0.77) | c63:Lignocellulose Bioconversion to Biofuels(0.74) | c10:Genetic Code Expansion with Noncanonical Amino Acids(0.73),Polyketides and their synthesis | Metabolic pathways for starter units in polyketide biosynthesis | METHOD FOR PRODUCTION OF POLYKETIDES | METHODS AND COMPOSITIONS FOR DETERMINING ENZYMATIC ACTIVITY | Recombinant genes for polyketide modifying enzymes | BIOSYNTHETIC GENE CLUSTER FOR THE PRODUCTION OF A COMPLEX POLYKETIDE | Borrelidin-producing polyketide synthase and its use | Engineered polyketide biosynthesis and biocatalysis in Escherichia coli | Production of polyketides in bacteria and yeast | Genes for synthesis of FR-008 polyketides
19,Engineered Live Bacterial Therapeutics,Synthetic biology design of probiotic and pathogenic bacteria as therapeutic agents for disease treatment and diagnosis.,,143,132,1,10,paper,False,"simcells, bifidobacteria, microbial therapeutics, phage therapy, mammalian gut, ahr, phages, phage genomes",c45:Site-Specific Recombinase Integration(0.83) | c14:CRISPR Interference Gene Regulation(0.81) | c57:Microbial Bioremediation & Biochemical Production(0.80) | c36:Transcription Factor Biosensors(0.80) | c64:Bacterial Promoter Engineering(0.79),"Systems and synthetic biology-driven engineering of live bacterial therapeutics | Engineering Diagnostic and Therapeutic Gut Bacteria | Developing a new class of engineered live bacterial therapeutics to treat human diseases | Synthetic Biology-Driven Microbial Therapeutics for Disease Treatment | Therapeutic engineering of the gut microbiome using synthetic biology and metabolic tools: a comprehensive review with E. coli Nissle 1917 as a model  | Engineered Bacteria for Disease Diagnosis and Treatment Using Synthetic Biology | Synthetic Biology Approaches in the Development of Engineered Therapeutic Microbes | Engineered probiotics for local tumor delivery of checkpoint blockade nanobodies | Emerging synthetic biology-assisted technologies for overcoming antibiotic resistance: CRISPR-Cas, bacteriophage, microbiome, and metabolic engineerin | Bacteria and bacterial derivatives as delivery carriers for immunotherapy"
20,Synthetic ECM Scaffolds for Stem Cell Differentiation,Engineering synthetic extracellular matrices and hydrogels to direct mesenchymal stem cell differentiation toward osteogenic and tissue-specific lineages.,,493,404,1,88,paper,False,"osteogenic, mscs, ecm, pcl, adipose, rgd, electrospun, hesc",c66:Peptide-Based Cell Targeting(0.82) | c24:Peptide Coiled-Coil Assembly(0.78) | c12:Mammalian Gene Circuit Engineering(0.76) | c29:Microfluidic Droplet Systems(0.70) | c68:CAR-T Cell Engineering(0.70),"Synthetic Extracellular Microenvironment for Modulating Stem Cell Behaviors | Osteogenic Induction of Human Bone Marrow-Derived Mesenchymal Progenitor Cells in Novel Synthetic Polymer–Hydrogel Matrices | Synthetic Matrices to Serve as Niches for Muscle Cell Transplantation | Rheological characterization of dynamic remodeling of the pericellular region by human mesenchymal stem cell-secreted enzymes in well-defined syntheti | A Novel Synthetic, Xeno‐Free Biomimetic Surface for Serum‐Free Expansion of Human Mesenchymal Stromal Cells | Synthetic Extracellular Matrices for 3D Culture of Schwann Cells, Hepatocytes, and HUVECs | Physical and Soluble Cues Enhance Tendon Progenitor Cell Invasion into Injectable Synthetic Hydrogels | Osteochondral Defect Repair with Autologous Bone Marrow–Derived Mesenchymal Stem Cells in an Injectable, <i>In Situ</i> , Cross-Linked Synthetic Extra | Synthetic biodegradable microporous hydrogels for in vitro 3D culture of functional human bone cell networks | Matrix Control of Periodontal Ligament Cell Activity Via Synthetic Hydrogel Scaffolds"
21,Fluorescent Protein Engineering,Design and optimization of genetically encoded fluorescent proteins and FRET-based biosensors for cellular imaging.,,69,52,0,17,paper,False,"brightness, fret, chromophore, fluorescence lifetime, photostability, encoded fluorescent, ubiquitination, ca sup",c16:Engineered Antibody Design(0.81) | c78:Optogenetic Gene Expression Control(0.79) | c66:Peptide-Based Cell Targeting(0.79) | c17:Bacterial Compartmentalization Systems(0.79) | c24:Peptide Coiled-Coil Assembly(0.79),"Far-red fluorescent tags for protein imaging in living tissues | Cyan and Yellow Super Fluorescent Proteins with Improved Brightness, Protein Folding, and FRET Förster Radius<sup>,</sup> | ShadowR: a novel chromoprotein with reduced non-specific binding and improved expression in living cells | Fluorescent fusion polypeptides and methods of use | PROTEIN SUBCELLULAR LOCALIZATION ASSAYS USING SPLIT FLUORESCENT PROTEINS | Ultramarine, a Chromoprotein Acceptor for Förster Resonance Energy Transfer | Fluorescence resonance energy transfer (FRET) microscopy imaging of live cell protein localizations | Genetically encoded fluorescent tags | Ligand/binding partner bio-labeling systems | mCherry contains a fluorescent protein isoform that interferes with its reporter function"
