id,rep_patent,title,abstract,text,has_abstract
5t6l42511g33421s3l4xv5j1f2i1x3m3ep1c27,US7122657,UDP-glucose:aglycon-glucosyltransferase,"The present invention provides DNA molecules coding for a UDP-glucose:alycon-glucosyltransferase conjugating cyanohydrins, terpenoids, phenylderivatives or hexanolderivatives to glucose. Trangenic expression of corresponding genes in plants can be used to influence the biosynthesis of the corresponding glucosides.","UDP-glucose:aglycon-glucosyltransferase. The present invention provides DNA molecules coding for a UDP-glucose:alycon-glucosyltransferase conjugating cyanohydrins, terpenoids, phenylderivatives or hexanolderivatives to glucose. Trangenic expression of corresponding genes in plants can be used to influence the biosynthesis of the corresponding glucosides",True
s6m5x3p5w6u3u522z4b1a6w5p4f3a4m5726j45,US6825029,Nucleotide sequences which code for the opcA gene,,Nucleotide sequences which code for the opcA gene,False
5646vi5154h5h4h13x1r4t6b2971162u203l,US7124032,SYSTEM AND METHOD FOR RECONSTRUCTING PATHWAYS IN LARGE GENETIC NETWORKS FROM GENETIC PERTURBATIONS,"A system and method for reconstructing pathways in large genetic networks from genetic perturbations comprises an analysis method and system that applies a recursive algorithm for determining the path between every gene pair in an arbitrarily large genetic network from large-scale gene perturbation data and reconstructs all direct and indirect regulatory gene interactions in the network. Graph theory mathematics is applied to genetic network reconstruction in the following manner: Genetic perturbation data is used to identify all genes accessible from a perturbed gene to generate an accessibility list for the gene. Graph theory mathematics is applied to the accessibility list and its graph to determine a condensation of the graph as defined by the condensation's accessibility list. Graph theory mathematics is applied to the accessibility list, such as through a recursive algorithm performed on a desktop computer, to obtain an adjacency list for the gene that characterizes a genetic network.","SYSTEM AND METHOD FOR RECONSTRUCTING PATHWAYS IN LARGE GENETIC NETWORKS FROM GENETIC PERTURBATIONS. A system and method for reconstructing pathways in large genetic networks from genetic perturbations comprises an analysis method and system that applies a recursive algorithm for determining the path between every gene pair in an arbitrarily large genetic network from large-scale gene perturbation data and reconstructs all direct and indirect regulatory gene interactions in the network. Graph theory mathematics is applied to genetic network reconstruction in the following manner: Genetic perturbation data is used to identify all genes accessible from a perturbed gene to generate an accessibility list for the gene. Graph theory mathematics is applied to the accessibility list and its graph to determine a condensation of the graph as defined by the condensation's accessibility list. Graph theory mathematics is applied to the accessibility list, such as through a recursive algorithm performed on a desktop computer, to obtain an adjacency list for the gene that characterizes a genetic network",True
4k5g5s6n4j432n406q1f6v2d331a6we595u5lp,US8784929,BILAYERS,"A method for producing a bilayer of amphipathic molecules comprising providing a hydrated support and providing a hydrophilic body, and bringing the hydrated support and hydrophilic body into contact to form a bilayer of amphipathic molecules. A bilayer produced by the method of the invention, and uses of the bilayer.","BILAYERS. A method for producing a bilayer of amphipathic molecules comprising providing a hydrated support and providing a hydrophilic body, and bringing the hydrated support and hydrophilic body into contact to form a bilayer of amphipathic molecules. A bilayer produced by the method of the invention, and uses of the bilayer",True
2e3m341315731d4n5l485f5a485q3d4u5r61m48,US8454960,ANTIBODY TARGETING THROUGH A MODULAR RECOGNITION DOMAIN,"Antibodies containing one or more modular recognition domains (MRDs) that can be used to target the antibodies to specific sites are described. The use of antibodies containing one or more modular recognition domains to treat disease, and methods of making antibodies containing one or more modular recognition domains are also described.","ANTIBODY TARGETING THROUGH A MODULAR RECOGNITION DOMAIN. Antibodies containing one or more modular recognition domains (MRDs) that can be used to target the antibodies to specific sites are described. The use of antibodies containing one or more modular recognition domains to treat disease, and methods of making antibodies containing one or more modular recognition domains are also described",True
r1wo2a5r1p86p5b595r2k4os1s2d3g3q50,US8697376,"SYNTHETIC PROTEASE SUBSTRATES, ASSAY METHODS USING SUCH SUBSTRATES AND KITS FOR PRACTICING THE ASSAY","Synthetic protease substrates and methods which facilitate the identification of substrates of a protease, particularly ubiquitin, ubiquitin-like, or proteasome protein are provided.","SYNTHETIC PROTEASE SUBSTRATES, ASSAY METHODS USING SUCH SUBSTRATES AND KITS FOR PRACTICING THE ASSAY. Synthetic protease substrates and methods which facilitate the identification of substrates of a protease, particularly ubiquitin, ubiquitin-like, or proteasome protein are provided",True
4l3o1u1b36392m5i1a2a52z1z2t46484w5v6eu,US9410157,SYSTEMS AND METHODS FOR THE SECRETION OF RECOMBINANT PROTEINS IN GRAM NEGATIVE BACTERIA,"Disclosed herein are systems and methods for producing recombinant proteins utilizing mutant E. coli strains containing expression vectors carrying nucleic acids encoding the proteins, and secretory signal sequences to direct the secretion of the proteins to the culture medium. Host cells transformed with the expression vectors are also provided.","SYSTEMS AND METHODS FOR THE SECRETION OF RECOMBINANT PROTEINS IN GRAM NEGATIVE BACTERIA. Disclosed herein are systems and methods for producing recombinant proteins utilizing mutant E. coli strains containing expression vectors carrying nucleic acids encoding the proteins, and secretory signal sequences to direct the secretion of the proteins to the culture medium. Host cells transformed with the expression vectors are also provided",True
3g5a1n4z1x6b6p3x3a5a6dz1i50f5wn675p4l,US8772012,XYLOSE ISOMERASE AND USE THEREOF,It is an object of the disclosure of the present description to provide an eukaryotic cell having xylose utilization ability. The disclosure of the present description provides a novel eukaryotic cell having xylose utilization ability by transforming a yeast or other eukaryotic cell using DNA that codes a xylose isomerase from a termite protist.,XYLOSE ISOMERASE AND USE THEREOF. It is an object of the disclosure of the present description to provide an eukaryotic cell having xylose utilization ability. The disclosure of the present description provides a novel eukaryotic cell having xylose utilization ability by transforming a yeast or other eukaryotic cell using DNA that codes a xylose isomerase from a termite protist,True
446u386p6lkb4f1l3o455h3362406g6p5a4e2h,US7732621,Enantiomers concentration indoline-2-carboxylic acid preparing method,"The present invention relates to a process for the preparation of an enantiomerically enriched optionally substituted indoline-2-carboxylic acid or a salt thereof, wherein an enantiomerically enriched chiral ortho-X-substituted phenylalanine compound, wherein X is a leaving group, is subjected to cyclisation, preferably at a temperature of below about 140&#xb0; C., upon formation of the enantiomerically enriched indoline-2-carboxylic acid compound.","Enantiomers concentration indoline-2-carboxylic acid preparing method. The present invention relates to a process for the preparation of an enantiomerically enriched optionally substituted indoline-2-carboxylic acid or a salt thereof, wherein an enantiomerically enriched chiral ortho-X-substituted phenylalanine compound, wherein X is a leaving group, is subjected to cyclisation, preferably at a temperature of below about 140&#xb0; C., upon formation of the enantiomerically enriched indoline-2-carboxylic acid compound",True
6i4w5in3p3qu2u2u331n2f405f2k3s2x4c1m27,US8039007,Neisseria meningitidis polypeptide,"Various specific meningococcal proteins are disclosed. The invention provides related polypeptides, nucleic acids, antibodies and methods. These can all be used in medicine for treating or preventing disease and/or infection caused by meningococcus, such as bacterial meningitis.","Neisseria meningitidis polypeptide. Various specific meningococcal proteins are disclosed. The invention provides related polypeptides, nucleic acids, antibodies and methods. These can all be used in medicine for treating or preventing disease and/or infection caused by meningococcus, such as bacterial meningitis",True
1a4c1fu2k4wx6d6g64571z224n3p733f5n3w63,US9187737,Proteins with esterase activity,"The invention relates to novel proteins having esterase activity, to mutants thereof, to nucleic acid sequences coding therefor, to expression cassettes, vectors and recombinant microorganisms; to methods for preparing said proteins and to the use thereof for enzymic, in particular enantioselective enzymic, ester hydrolysis or transesterification of organic esters.","Proteins with esterase activity. The invention relates to novel proteins having esterase activity, to mutants thereof, to nucleic acid sequences coding therefor, to expression cassettes, vectors and recombinant microorganisms; to methods for preparing said proteins and to the use thereof for enzymic, in particular enantioselective enzymic, ester hydrolysis or transesterification of organic esters",True
638711a6i3n3z2k274b3r15x4i5w2d61s202m,US7423162,Process for the preparation of (4-hydroxy-6-oxo-tetrahydropyran-2-yl)acetonitrile and derivatives thereof,"The invention relates to a process for the preparation of (4-hydroxy-6-oxo-tetrahydro-pyran-2-yl)-acetonitrile from 6-X-substituted-methyl-4-hydroxy-tetrahydro-pyran-2-one, wherein X stands for a leaving group, by reacting 6-X-substituted-methyl-4-hydroxy-tetrahydro-pyran-2-one with a cyanide ion in water and by subsequent lowering of the pH to a pH between 0 and 5. (4-hydroxy-6-oxo-tetrahydro-pyran-2-yl)-acetonitrile and other compounds obtainable from (4-hydroxy-6-oxo-tetrahydro-pyran-2-yl)-acetonitrile may suitably be used in the preparation of a pharmaceutical preparation, more in particular in the preparation of statins, more in particular in the preparation of Atorvastatine or a salt thereof, for instance its calcium salt. The invention also relates to (4-hydroxy-6-oxo-tetrahydro-pyran-2-yl)-acetonitrile and other compounds obtainable therefrom.","Process for the preparation of (4-hydroxy-6-oxo-tetrahydropyran-2-yl)acetonitrile and derivatives thereof. The invention relates to a process for the preparation of (4-hydroxy-6-oxo-tetrahydro-pyran-2-yl)-acetonitrile from 6-X-substituted-methyl-4-hydroxy-tetrahydro-pyran-2-one, wherein X stands for a leaving group, by reacting 6-X-substituted-methyl-4-hydroxy-tetrahydro-pyran-2-one with a cyanide ion in water and by subsequent lowering of the pH to a pH between 0 and 5. (4-hydroxy-6-oxo-tetrahydro-pyran-2-yl)-acetonitrile and other compounds obtainable from (4-hydroxy-6-oxo-tetrahydro-pyran-2-yl)-acetonitrile may suitably be used in the preparation of a pharmaceutical preparation, more in particular in the preparation of statins, more in particular in the preparation of Atorvastatine or a salt thereof, for instance its calcium salt. The invention also relates to (4-hydroxy-6-oxo-tetrahydro-pyran-2-yl)-acetonitrile and other compounds obtainable therefrom",True
a3d5r606r1gl55536k47263171244h4ib3n1f,US8202983,Thiocarbon-protecting groups for RNA synthesis,"Aspects of the invention include 2&#x2032; protected nucleoside monomers that are protected at the 2&#x2032; site with thiocarbon protecting groups. Thiocarbon protecting groups of interest include thiocarbonate, thionocarbonate, dithiocarbonate groups, as well as thionocarbamate protecting groups. Aspects of the invention further include nucleic acids that include the protecting groups of the invention, as well as methods of synthesizing nucleic acids using the protecting groups of the invention.","Thiocarbon-protecting groups for RNA synthesis. Aspects of the invention include 2&#x2032; protected nucleoside monomers that are protected at the 2&#x2032; site with thiocarbon protecting groups. Thiocarbon protecting groups of interest include thiocarbonate, thionocarbonate, dithiocarbonate groups, as well as thionocarbamate protecting groups. Aspects of the invention further include nucleic acids that include the protecting groups of the invention, as well as methods of synthesizing nucleic acids using the protecting groups of the invention",True
564z623303p642tt6i3a4or3g105a3i4d386g,US8945624,Photoinitiated tissue filler,"Visible light-activated polymer cosmetic filler preparations useful in a variety of applications are provided. In some embodiments, the photo-activated polymer composition comprises a conventional polymeric material, such as HA, together with a modified, crosslinkable polymer, such as PEG or PEODA, to permit the formation of crosslinks within the polymer matrix in situ on exposure to a visible light source, such as an IPL device. The preparations provide for a more stabilized composition that is contourable during gelation.","Photoinitiated tissue filler. Visible light-activated polymer cosmetic filler preparations useful in a variety of applications are provided. In some embodiments, the photo-activated polymer composition comprises a conventional polymeric material, such as HA, together with a modified, crosslinkable polymer, such as PEG or PEODA, to permit the formation of crosslinks within the polymer matrix in situ on exposure to a visible light source, such as an IPL device. The preparations provide for a more stabilized composition that is contourable during gelation",True
1e3o462828284c4i5m6r2r4sx5e2i2m3743161b,US8470995,Relates to triterpene compound and enzyme,"This invention relates to isolated polynucleotides encoding enzymes consisting of a carboxypeptidase-like protein, a methyltransferase and a glucosyltransferase, involved in the biosynthesis of &#x3b2;-amyrin-derived triterpenes in plants and seeds. The invention also relates to the construction of recombinant DNA constructs comprising all or a portion of the isolated polynucleotides of the invention, in sense or antisense orientation, operably linked to at least one regulatory sequence.","Relates to triterpene compound and enzyme. This invention relates to isolated polynucleotides encoding enzymes consisting of a carboxypeptidase-like protein, a methyltransferase and a glucosyltransferase, involved in the biosynthesis of &#x3b2;-amyrin-derived triterpenes in plants and seeds. The invention also relates to the construction of recombinant DNA constructs comprising all or a portion of the isolated polynucleotides of the invention, in sense or antisense orientation, operably linked to at least one regulatory sequence",True
5f5k8663e254o1s5h2k2l44q5b11113g16j6q,US8426162,Method and device for microbial production of a certain product and methane,"The process according to the invention for the microbial production of a specific product and methane comprises the following steps: a) the production in a bioreactor ( 2, 10 ) of a specific product from a specific substrate using a specific organism, the producer, wherein during the production of this product metabolites such as e.g. low-molecular alcohols, aldehydes and acids, hydrogen and CO 2 , which may inhibit the production of the product, are obtained; and b) the production of methane by means of a methanogen, wherein in the production of the methane at least one metabolite is decomposed and by this means removed from the bioreactor ( 2, 10 ) and its energy is made usable.","Method and device for microbial production of a certain product and methane. The process according to the invention for the microbial production of a specific product and methane comprises the following steps: a) the production in a bioreactor ( 2, 10 ) of a specific product from a specific substrate using a specific organism, the producer, wherein during the production of this product metabolites such as e.g. low-molecular alcohols, aldehydes and acids, hydrogen and CO 2 , which may inhibit the production of the product, are obtained; and b) the production of methane by means of a methanogen, wherein in the production of the methane at least one metabolite is decomposed and by this means removed from the bioreactor ( 2, 10 ) and its energy is made usable",True
6p2t731p6e5nh3hf4d3ru65p606h6l553ku,US9074206,Composition and method for micro-RNA expression profiling of colorectal cancer,"The present invention relates compositions and methods for microRNA (miRNA) expression profiling of colorectal cancer. In particular, the invention relates to a diagnostic kit of molecular markers for identifying one or more mammalian target cells exhibiting or having a predisposition to develop colorectal cancer, the kit comprising a plurality of nucleic acid molecules, each nucleic acid molecule encoding a miRNA sequence, wherein one or more of the plurality of nucleic acid molecules are differentially expressed in the target cells and in one or more control cells, and wherein the one or more differentially expressed nucleic acid molecules together represent a nucleic acid expression signature that is indicative for the presence of or the predisposition to develop colorectal cancer. The invention further relates to corresponding methods using such nucleic acid expression signatures for identifying one or more mammalian target cells exhibiting or having a predisposition to develop colorectal cancer as well as for preventing or treating such a condition. Finally, the invention is directed to a pharmaceutical composition for the prevention and/or treatment of colorectal cancer.","Composition and method for micro-RNA expression profiling of colorectal cancer. The present invention relates compositions and methods for microRNA (miRNA) expression profiling of colorectal cancer. In particular, the invention relates to a diagnostic kit of molecular markers for identifying one or more mammalian target cells exhibiting or having a predisposition to develop colorectal cancer, the kit comprising a plurality of nucleic acid molecules, each nucleic acid molecule encoding a miRNA sequence, wherein one or more of the plurality of nucleic acid molecules are differentially expressed in the target cells and in one or more control cells, and wherein the one or more differentially expressed nucleic acid molecules together represent a nucleic acid expression signature that is indicative for the presence of or the predisposition to develop colorectal cancer. The invention further relates to corresponding methods using such nucleic acid expression signatures for identifying one or more mammalian target cells exhibiting or having a predisposition to develop colorectal cancer as well as for preventing or treating such a condition. Finally, the invention is directed to a pharmaceutical composition for the prevention and/or treatment of colorectal cancer",True
3b1e5s3j5z332o3hc2g4uj2r63k6i6l2e4w6v,US9708373,Influenza virus vaccines and uses thereof,"Provided herein are influenza hemagglutinin stem domain polypeptides, compositions comprising the same, vaccines comprising the same and methods of their use.","Influenza virus vaccines and uses thereof. Provided herein are influenza hemagglutinin stem domain polypeptides, compositions comprising the same, vaccines comprising the same and methods of their use",True
3a24q164k3h4d6431a1l5q1m5d686jy343y13,US6740742,Für das dapC-Gen kodierende Nukleotidsequenzen und Verfahren zur Herstellung von L-Lysin,,Für das dapC-Gen kodierende Nukleotidsequenzen und Verfahren zur Herstellung von L-Lysin,False
6a2p282h2h156u681q1s5b41353ck3u685h3966,US7058212,"Anordnung und Verfahren zur Bestimmung der zweidimensionalen Verteilung von Funduspigmenten, insbesondere des Makulapigments Xanthophyll","An arrangement and method for determining the two-dimensional distribution of fundus pigments, particularly of the xanthophyll macular pigment. The arrangement for carrying out the method comprises an illumination unit which illuminates the retina via an illumination beam path directed to the ocular fundus, observation optics located in the observation beam path proceeding from the ocular fundus, an image processing unit, elements for beam deflection and a central controlling and evaluating unit. In the method, a two-dimensional reflection image of the retina is recorded in a selected narrow-band wavelength region. In evaluating this two-dimensional reflection image, site-specific areas are established for determining the optical density and comparison values. The optical density of the fundus pigment at every fundus location is calculated from the negative logarithmic value of the quotient of the intensity value of the reflection image I R(&#x3bb;) at this fundus site to a comparison intensity value of the reflection image I R(&#x3bb;)Comparison . The suggested solution for the objective detection of the two-dimensional distribution of the optical density of the macular pigment xanthophyll is also suitable in principle for determining the distribution of other fundus pigments.","Anordnung und Verfahren zur Bestimmung der zweidimensionalen Verteilung von Funduspigmenten, insbesondere des Makulapigments Xanthophyll. An arrangement and method for determining the two-dimensional distribution of fundus pigments, particularly of the xanthophyll macular pigment. The arrangement for carrying out the method comprises an illumination unit which illuminates the retina via an illumination beam path directed to the ocular fundus, observation optics located in the observation beam path proceeding from the ocular fundus, an image processing unit, elements for beam deflection and a central controlling and evaluating unit. In the method, a two-dimensional reflection image of the retina is recorded in a selected narrow-band wavelength region. In evaluating this two-dimensional reflection image, site-specific areas are established for determining the optical density and comparison values. The optical density of the fundus pigment at every fundus location is calculated from the negative logarithmic value of the quotient of the intensity value of the reflection image I R(&#x3bb;) at this fundus site to a comparison intensity value of the reflection image I R(&#x3bb;)Comparison . The suggested solution for the objective detection of the two-dimensional distribution of the optical density of the macular pigment xanthophyll is also suitable in principle for determining the distribution of other fundus pigments",True
4c2t3j4n3u6s5c3k817y6o34z46442f494y3e,US9606114,Multivalente Chelatoren zum Modifizieren und Organisieren von Zielmolekülen,"New compounds of the general formula X m -G-CL n are described as well as methods for their production and use in the analysis, detection and purification of target molecules. These constitute multivalent chelator-compounds with an affinity-tag binding to metal-chelator-complexes which can selectively modify and/or immobilize target molecules by a multitude of probes or functional units.","Multivalente Chelatoren zum Modifizieren und Organisieren von Zielmolekülen. New compounds of the general formula X m -G-CL n are described as well as methods for their production and use in the analysis, detection and purification of target molecules. These constitute multivalent chelator-compounds with an affinity-tag binding to metal-chelator-complexes which can selectively modify and/or immobilize target molecules by a multitude of probes or functional units",True
4k2v2k6j102j442e5y6b7069453o6d4f345t2g,US9957544,Test-Apparatur zur Testung der mikrobiellen Aktivität auf Oberflächen,"The present invention relates to a device comprising a sample receiving appliance, a receiving appliance for test organisms, preferably for a suspension comprising test organisms, in particular for a bacterial suspension, and a jet pump appliance, wherein the jet pump appliance is, or can be brought, into active connection with the receiving appliance, and wherein the jet pump appliance is designed and installed in order, by means of a propellant medium having a higher pressure than atmospheric pressure at the location of installation of the device to spray test organisms in the form of an aerosol in the direction of the sample receiving installation, wherein the device has an installation for controlling a reproducible pressure of the propellant medium during the spraying of the test organisms and also the use of a device according to the invention.","Test-Apparatur zur Testung der mikrobiellen Aktivität auf Oberflächen. The present invention relates to a device comprising a sample receiving appliance, a receiving appliance for test organisms, preferably for a suspension comprising test organisms, in particular for a bacterial suspension, and a jet pump appliance, wherein the jet pump appliance is, or can be brought, into active connection with the receiving appliance, and wherein the jet pump appliance is designed and installed in order, by means of a propellant medium having a higher pressure than atmospheric pressure at the location of installation of the device to spray test organisms in the form of an aerosol in the direction of the sample receiving installation, wherein the device has an installation for controlling a reproducible pressure of the propellant medium during the spraying of the test organisms and also the use of a device according to the invention",True
